RegionName,State,City,Date,Value
78204,TX,San Antonio,2000-11-30,85864.14490580471
78202,TX,San Antonio,2000-11-30,68344.07889642102
78207,TX,San Antonio,2000-12-31,
78201,TX,San Antonio,2000-12-31,
78230,TX,San Antonio,2000-12-31,46210.57643739844
78216,TX,San Antonio,2000-12-31,57289.31140778753
78209,TX,San Antonio,2000-12-31,75767.19153995354
78229,TX,San Antonio,2000-12-31,53515.06866148496
78217,TX,San Antonio,2000-12-31,46928.86740295702
78212,TX,San Antonio,2000-12-31,55570.88536397665
78204,TX,San Antonio,2000-12-31,86015.56036824336
78202,TX,San Antonio,2000-12-31,68989.19500555105
78207,TX,San Antonio,2001-01-31,
78201,TX,San Antonio,2001-01-31,
78230,TX,San Antonio,2001-01-31,46534.73513461999
78216,TX,San Antonio,2001-01-31,57331.92226417112
78209,TX,San Antonio,2001-01-31,75690.40823896257
78229,TX,San Antonio,2001-01-31,53632.176895080345
78217,TX,San Antonio,2001-01-31,46792.05317055797
78212,TX,San Antonio,2001-01-31,55606.032646732325
78204,TX,San Antonio,2001-01-31,86065.13136078115
78202,TX,San Antonio,2001-01-31,69523.6030048951
78207,TX,San Antonio,2001-02-28,
78201,TX,San Antonio,2001-02-28,
78230,TX,San Antonio,2001-02-28,47114.89332048896
78216,TX,San Antonio,2001-02-28,57431.8478259699
78209,TX,San Antonio,2001-02-28,75199.1092206431
78229,TX,San Antonio,2001-02-28,53816.10923409236
78217,TX,San Antonio,2001-02-28,46592.243254696754
78212,TX,San Antonio,2001-02-28,55508.63868412914
78204,TX,San Antonio,2001-02-28,85844.18330361073
78202,TX,San Antonio,2001-02-28,68649.78655412793
78207,TX,San Antonio,2001-03-31,
78201,TX,San Antonio,2001-03-31,
78230,TX,San Antonio,2001-03-31,47898.03492834248
78216,TX,San Antonio,2001-03-31,57522.807330228585
78209,TX,San Antonio,2001-03-31,74230.4633895096
78229,TX,San Antonio,2001-03-31,53935.14927794107
78217,TX,San Antonio,2001-03-31,47079.43940912932
78212,TX,San Antonio,2001-03-31,55292.77063227751
78204,TX,San Antonio,2001-03-31,85996.592817713
78202,TX,San Antonio,2001-03-31,68394.09022326757
78207,TX,San Antonio,2001-04-30,
78201,TX,San Antonio,2001-04-30,
78230,TX,San Antonio,2001-04-30,48373.83601059523
78216,TX,San Antonio,2001-04-30,57568.82581341775
78209,TX,San Antonio,2001-04-30,73381.44558062952
78229,TX,San Antonio,2001-04-30,53919.04366225292
78217,TX,San Antonio,2001-04-30,47207.48606326737
78212,TX,San Antonio,2001-04-30,55140.46832528708
78204,TX,San Antonio,2001-04-30,85469.46909537066
78202,TX,San Antonio,2001-04-30,66834.4208156383
78207,TX,San Antonio,2001-05-31,
78201,TX,San Antonio,2001-05-31,
78230,TX,San Antonio,2001-05-31,48167.10103501334
78216,TX,San Antonio,2001-05-31,57662.251995205566
78209,TX,San Antonio,2001-05-31,73047.97491373659
78229,TX,San Antonio,2001-05-31,53900.26561820903
78217,TX,San Antonio,2001-05-31,47387.981207029785
78212,TX,San Antonio,2001-05-31,55349.53329163641
78204,TX,San Antonio,2001-05-31,84936.33214198066
78202,TX,San Antonio,2001-05-31,66095.33696234773
78207,TX,San Antonio,2001-06-30,
78201,TX,San Antonio,2001-06-30,
78230,TX,San Antonio,2001-06-30,47492.37880222344
78216,TX,San Antonio,2001-06-30,57571.07924328672
78209,TX,San Antonio,2001-06-30,73048.511707181
78229,TX,San Antonio,2001-06-30,53812.36619016674
78217,TX,San Antonio,2001-06-30,47670.17493844213
78212,TX,San Antonio,2001-06-30,55745.05786576594
78204,TX,San Antonio,2001-06-30,84501.73778005554
78202,TX,San Antonio,2001-06-30,65661.41003010901
78207,TX,San Antonio,2001-07-31,
78201,TX,San Antonio,2001-07-31,
78230,TX,San Antonio,2001-07-31,46553.237165063394
